codice_parametro_arpa;categoria_parametro_arpa;codice_punto;data_misura;ora_misura;anno_monitoraggio;valore;valore_validato;gwbregcod;data
P00010;A;00425010001;2001-08-08;18:00:00;2001;4,39;4,39;GWB-S6;2001-08-08 18:00:00
P00010;A;00425010001;2001-08-09;00:00:00;2001;4,36;4,36;GWB-S6;2001-08-09 00:00:00
P00010;A;00425010001;2001-08-09;06:00:00;2001;4,34;4,34;GWB-S6;2001-08-09 06:00:00
P00010;A;00425010001;2001-08-09;12:00:00;2001;4,34;4,34;GWB-S6;2001-08-09 12:00:00
P00010;A;00425010001;2001-08-09;18:00:00;2001;5,08;5,08;GWB-S6;2001-08-09 18:00:00
P00010;A;00425010001;2001-08-10;00:00:00;2001;4,41;4,41;GWB-S6;2001-08-10 00:00:00
P00010;A;00425010001;2001-08-10;06:00:00;2001;4,38;4,38;GWB-S6;2001-08-10 06:00:00
P00010;A;00425010001;2001-08-10;12:00:00;2001;4,42;4,42;GWB-S6;2001-08-10 12:00:00
P00010;A;00425010001;2001-08-10;18:00:00;2001;4,39;4,39;GWB-S6;2001-08-10 18:00:00
P00010;A;00425010001;2001-08-11;00:00:00;2001;4,36;4,36;GWB-S6;2001-08-11 00:00:00
P00010;A;00425010001;2001-08-11;06:00:00;2001;4,35;4,35;GWB-S6;2001-08-11 06:00:00
P00010;A;00425010001;2001-08-11;12:00:00;2001;4,36;4,36;GWB-S6;2001-08-11 12:00:00
P00010;A;00425010001;2001-08-11;18:00:00;2001;4,48;4,48;GWB-S6;2001-08-11 18:00:00
P00010;A;00425010001;2001-08-12;00:00:00;2001;4,39;4,39;GWB-S6;2001-08-12 00:00:00
P00010;A;00425010001;2001-08-12;06:00:00;2001;4,37;4,37;GWB-S6;2001-08-12 06:00:00
P00010;A;00425010001;2001-08-12;12:00:00;2001;4,36;4,36;GWB-S6;2001-08-12 12:00:00
P00010;A;00425010001;2001-08-12;18:00:00;2001;4,38;4,38;GWB-S6;2001-08-12 18:00:00
P00010;A;00425010001;2001-08-13;00:00:00;2001;4,35;4,35;GWB-S6;2001-08-13 00:00:00
P00010;A;00425010001;2001-08-13;06:00:00;2001;4,84;4,84;GWB-S6;2001-08-13 06:00:00
P00010;A;00425010001;2001-08-13;12:00:00;2001;4,47;4,47;GWB-S6;2001-08-13 12:00:00
P00010;A;00425010001;2001-08-13;18:00:00;2001;4,47;4,47;GWB-S6;2001-08-13 18:00:00
P00010;A;00425010001;2001-08-14;00:00:00;2001;4,39;4,39;GWB-S6;2001-08-14 00:00:00
P00010;A;00425010001;2001-08-14;06:00:00;2001;4,39;4,39;GWB-S6;2001-08-14 06:00:00
P00010;A;00425010001;2001-08-14;12:00:00;2001;4,44;4,44;GWB-S6;2001-08-14 12:00:00
P00010;A;00425010001;2001-08-14;18:00:00;2001;4,42;4,42;GWB-S6;2001-08-14 18:00:00
P00010;A;00425010001;2001-08-15;00:00:00;2001;4,38;4,38;GWB-S6;2001-08-15 00:00:00
P00010;A;00425010001;2001-08-15;06:00:00;2001;4,38;4,38;GWB-S6;2001-08-15 06:00:00
P00010;A;00425010001;2001-08-15;12:00:00;2001;4,37;4,37;GWB-S6;2001-08-15 12:00:00
P00010;A;00425010001;2001-08-15;18:00:00;2001;4,46;4,46;GWB-S6;2001-08-15 18:00:00
P00010;A;00425010001;2001-08-16;00:00:00;2001;4,4;4,4;GWB-S6;2001-08-16 00:00:00
P00010;A;00425010001;2001-08-16;06:00:00;2001;4,39;4,39;GWB-S6;2001-08-16 06:00:00
P00010;A;00425010001;2001-08-16;12:00:00;2001;5,1;5,1;GWB-S6;2001-08-16 12:00:00
P00010;A;00425010001;2001-08-16;18:00:00;2001;4,68;4,68;GWB-S6;2001-08-16 18:00:00
P00010;A;00425010001;2001-08-17;00:00:00;2001;4,49;4,49;GWB-S6;2001-08-17 00:00:00
P00010;A;00425010001;2001-08-17;06:00:00;2001;4,45;4,45;GWB-S6;2001-08-17 06:00:00
P00010;A;00425010001;2001-08-17;12:00:00;2001;4,67;4,67;GWB-S6;2001-08-17 12:00:00
P00010;A;00425010001;2001-08-17;18:00:00;2001;4,56;4,56;GWB-S6;2001-08-17 18:00:00
P00010;A;00425010001;2001-08-18;00:00:00;2001;4,47;4,47;GWB-S6;2001-08-18 00:00:00
P00010;A;00425010001;2001-08-18;06:00:00;2001;4,44;4,44;GWB-S6;2001-08-18 06:00:00
P00010;A;00425010001;2001-08-18;12:00:00;2001;4,73;4,73;GWB-S6;2001-08-18 12:00:00
P00010;A;00425010001;2001-08-18;18:00:00;2001;4,56;4,56;GWB-S6;2001-08-18 18:00:00
P00010;A;00425010001;2001-08-19;00:00:00;2001;4,47;4,47;GWB-S6;2001-08-19 00:00:00
P00010;A;00425010001;2001-08-19;06:00:00;2001;4,46;4,46;GWB-S6;2001-08-19 06:00:00
P00010;A;00425010001;2001-08-19;12:00:00;2001;4,54;4,54;GWB-S6;2001-08-19 12:00:00
P00010;A;00425010001;2001-08-19;18:00:00;2001;4,49;4,49;GWB-S6;2001-08-19 18:00:00
P00010;A;00425010001;2001-08-20;00:00:00;2001;4,46;4,46;GWB-S6;2001-08-20 00:00:00
P00010;A;00425010001;2001-08-20;06:00:00;2001;4,45;4,45;GWB-S6;2001-08-20 06:00:00
P00010;A;00425010001;2001-08-20;12:00:00;2001;5,09;5,09;GWB-S6;2001-08-20 12:00:00
P00010;A;00425010001;2001-08-20;18:00:00;2001;5,13;5,13;GWB-S6;2001-08-20 18:00:00
P00010;A;00425010001;2001-08-21;00:00:00;2001;4,56;4,56;GWB-S6;2001-08-21 00:00:00
