codice_parametro_arpa;categoria_parametro_arpa;codice_punto;data_misura;ora_misura;anno_monitoraggio;valore;valore_validato;gwbregcod;data
P00010;A;00417910001;2001-01-31;20:00:00;2001;4,29;4,29;GWB-S6;2001-01-31 20:00:00
P00010;A;00417910001;2001-02-01;00:00:00;2001;4,34;4,34;GWB-S6;2001-02-01 00:00:00
P00010;A;00417910001;2001-02-01;04:00:00;2001;4,25;4,25;GWB-S6;2001-02-01 04:00:00
P00010;A;00417910001;2001-02-01;08:00:00;2001;4,26;4,26;GWB-S6;2001-02-01 08:00:00
P00010;A;00417910001;2001-02-01;12:00:00;2001;4,3;4,3;GWB-S6;2001-02-01 12:00:00
P00010;A;00417910001;2001-02-01;16:00:00;2001;4,27;4,27;GWB-S6;2001-02-01 16:00:00
P00010;A;00417910001;2001-02-01;20:00:00;2001;4,31;4,31;GWB-S6;2001-02-01 20:00:00
P00010;A;00417910001;2001-02-02;00:00:00;2001;4,33;4,33;GWB-S6;2001-02-02 00:00:00
P00010;A;00417910001;2001-02-02;04:00:00;2001;4,37;4,37;GWB-S6;2001-02-02 04:00:00
P00010;A;00417910001;2001-02-02;08:00:00;2001;4,27;4,27;GWB-S6;2001-02-02 08:00:00
P00010;A;00417910001;2001-02-02;12:00:00;2001;4,41;4,41;GWB-S6;2001-02-02 12:00:00
P00010;A;00417910001;2001-02-02;16:00:00;2001;4,42;4,42;GWB-S6;2001-02-02 16:00:00
P00010;A;00417910001;2001-02-02;20:00:00;2001;4,36;4,36;GWB-S6;2001-02-02 20:00:00
P00010;A;00417910001;2001-02-03;00:00:00;2001;4,31;4,31;GWB-S6;2001-02-03 00:00:00
P00010;A;00417910001;2001-02-03;04:00:00;2001;4,3;4,3;GWB-S6;2001-02-03 04:00:00
P00010;A;00417910001;2001-02-03;08:00:00;2001;4,26;4,26;GWB-S6;2001-02-03 08:00:00
P00010;A;00417910001;2001-02-03;12:00:00;2001;4,24;4,24;GWB-S6;2001-02-03 12:00:00
P00010;A;00417910001;2001-02-03;16:00:00;2001;4,22;4,22;GWB-S6;2001-02-03 16:00:00
P00010;A;00417910001;2001-02-03;20:00:00;2001;4,21;4,21;GWB-S6;2001-02-03 20:00:00
P00010;A;00417910001;2001-02-04;00:00:00;2001;4,2;4,2;GWB-S6;2001-02-04 00:00:00
P00010;A;00417910001;2001-02-04;04:00:00;2001;4,19;4,19;GWB-S6;2001-02-04 04:00:00
P00010;A;00417910001;2001-02-04;08:00:00;2001;4,18;4,18;GWB-S6;2001-02-04 08:00:00
P00010;A;00417910001;2001-02-04;12:00:00;2001;4,17;4,17;GWB-S6;2001-02-04 12:00:00
P00010;A;00417910001;2001-02-04;16:00:00;2001;4,17;4,17;GWB-S6;2001-02-04 16:00:00
P00010;A;00417910001;2001-02-04;20:00:00;2001;4,17;4,17;GWB-S6;2001-02-04 20:00:00
P00010;A;00417910001;2001-02-05;00:00:00;2001;4,16;4,16;GWB-S6;2001-02-05 00:00:00
P00010;A;00417910001;2001-02-05;04:00:00;2001;4,15;4,15;GWB-S6;2001-02-05 04:00:00
P00010;A;00417910001;2001-02-05;08:00:00;2001;4,18;4,18;GWB-S6;2001-02-05 08:00:00
P00010;A;00417910001;2001-02-05;12:00:00;2001;4,23;4,23;GWB-S6;2001-02-05 12:00:00
P00010;A;00417910001;2001-02-05;16:00:00;2001;4,24;4,24;GWB-S6;2001-02-05 16:00:00
P00010;A;00417910001;2001-02-05;20:00:00;2001;4,33;4,33;GWB-S6;2001-02-05 20:00:00
P00010;A;00417910001;2001-02-06;00:00:00;2001;4,31;4,31;GWB-S6;2001-02-06 00:00:00
P00010;A;00417910001;2001-02-06;04:00:00;2001;4,38;4,38;GWB-S6;2001-02-06 04:00:00
P00010;A;00417910001;2001-02-06;08:00:00;2001;4,39;4,39;GWB-S6;2001-02-06 08:00:00
P00010;A;00417910001;2001-02-06;12:00:00;2001;4,43;4,43;GWB-S6;2001-02-06 12:00:00
P00010;A;00417910001;2001-02-06;16:00:00;2001;4,33;4,33;GWB-S6;2001-02-06 16:00:00
P00010;A;00417910001;2001-02-06;20:00:00;2001;4,37;4,37;GWB-S6;2001-02-06 20:00:00
P00010;A;00417910001;2001-02-07;00:00:00;2001;4,34;4,34;GWB-S6;2001-02-07 00:00:00
P00010;A;00417910001;2001-02-07;04:00:00;2001;4,4;4,4;GWB-S6;2001-02-07 04:00:00
P00010;A;00417910001;2001-02-07;08:00:00;2001;4,44;4,44;GWB-S6;2001-02-07 08:00:00
P00010;A;00417910001;2001-02-07;12:00:00;2001;4,36;4,36;GWB-S6;2001-02-07 12:00:00
P00010;A;00417910001;2001-02-07;16:00:00;2001;4,37;4,37;GWB-S6;2001-02-07 16:00:00
P00010;A;00417910001;2001-02-07;20:00:00;2001;4,44;4,44;GWB-S6;2001-02-07 20:00:00
P00010;A;00417910001;2001-02-08;00:00:00;2001;4,41;4,41;GWB-S6;2001-02-08 00:00:00
P00010;A;00417910001;2001-02-08;04:00:00;2001;4,33;4,33;GWB-S6;2001-02-08 04:00:00
P00010;A;00417910001;2001-02-08;08:00:00;2001;4,33;4,33;GWB-S6;2001-02-08 08:00:00
P00010;A;00417910001;2001-02-08;12:00:00;2001;4,46;4,46;GWB-S6;2001-02-08 12:00:00
